Date,Salinity_psu,TALK_umol/Kg,MoonPhase_percent
6/4/22,3.9,1515.57,24
6/4/22,3.9,1461.9,24
6/5/22,4.47,1593.868,32
6/5/22,4.47,1587.015,32
6/18/22,5.6,1491.56,74
6/18/22,5.6,1667.636,74
3/1/19,7.2,1379.804,19
3/1/19,7.2,1540.29,19
6/27/22,8.83,1643.054,1
6/27/22,8.83,1655.739,1
7/2/22,8.61,1566.764,12
7/2/22,8.61,1578.362,12
6/25/22,8.76,1587.08,9
2/22/19,8.33,1570.288,85
6/25/22,16.11,1861.126,9
6/25/22,16.11,1875.972,9
5/1/19,14.85,1700.884,9
5/1/19,14.85,1647.738,9
7/2/22,14.75,1774.571,12
6/27/22,15.49,1810.029,1
3/6/19,19.87,1696.328,0
5/8/18,19.94,1869.17,42
6/25/19,20.69,1801.83,50
7/10/19,22.22,1700.159,50
6/5/18,24.2,2029.895,59
6/5/18,24.2,1972.201,59
4/18/19,24.63,2022.133,99
4/18/19,24.63,2199.558,99
7/3/18,27.8,2169.207,73
7/3/18,27.8,2236.143,73
8/28/18,27.81,2134.429,94
8/28/18,27.81,2158.292,94
5/15/18,28.11,2112.507,0
5/15/18,28.11,2065.281,0
5/1/18,28.84,2147.057,96
5/1/18,28.84,2171.551,96
5/29/18,29.45,2136.7,100
5/29/18,29.45,2252.323,100
6/12/18,30.15,2165.619,1
6/12/18,30.15,2236.079,1