DateTime.Sampled,Site,Week,Sample,Sample.Replicate,Salinity,Temperature,Real.Time.Temperature,Tidal_Depth_ft,pH_actual,pH_corrected,pH_corrected_average,pH_corrected_st.dev,TAlk_measured,TAlk_measured_average,TAlk_calculated_2022,TAlk_calculated_1980
6/9/22 10:56,Richardson Bay,1,1,R1,31.91693,25,20.05821,2.5,7.697981574,7.658684339,7.659100599,0.00058868,2264.23858,2263.42908,2249.886501,2210.405977
6/9/22 10:56,Richardson Bay,1,1,R2,31.91693,25,20.05821,2.5,7.698950561,7.659516858,7.659100599,,2262.61958,2263.42908,2249.886501,2210.405977
6/9/22 11:51,Richardson Bay,1,2,R1,31.88013,25,21.55161,1.9,7.707694135,7.668007451,7.667656281,0.000496629,2303.80483,2304.90569,2248.861621,2209.221385
6/9/22 11:51,Richardson Bay,1,2,R2,31.88013,25,21.55161,1.9,7.706597251,7.667305111,7.667656281,,2306.00655,2304.90569,2248.861621,2209.221385
6/9/22 12:50,Richardson Bay,1,3,R1,31.98251,25,22.10262,1.4,7.728898552,7.689054167,7.682045041,0.009912402,2263.86435,2324.06632,2251.712904,2212.516997
6/9/22 12:50,Richardson Bay,1,3,R2,31.98251,25,22.10262,1.4,7.71784649,7.675035914,7.682045041,,2384.26829,2324.06632,2251.712904,2212.516997
6/9/22 14:52,Richardson Bay,1,4,R1,32.15609,25,24.1708,1.4,7.850194518,7.811942269,7.814458515,0.003558509,2331.76383,2342.82413,2256.547107,2218.104537
6/9/22 14:52,Richardson Bay,1,4,R2,32.15609,25,24.1708,1.4,7.857305383,7.81697476,7.814458515,,2353.88443,2342.82413,2256.547107,2218.104537
6/9/22 15:50,Richardson Bay,1,5,R1,32.03898,25,23.26337,2,7.779888393,7.739929209,7.738475223,0.002056247,2242.59877,2244.95257,2253.285593,2214.334766
6/9/22 15:50,Richardson Bay,1,5,R2,32.03898,25,23.26337,2,7.776596764,7.737021237,7.738475223,,2247.30637,2244.95257,2253.285593,2214.334766
6/9/22 16:50,Richardson Bay,1,6,R1,31.98344,25,22.80201,3,7.774515889,7.734357653,7.733258621,0.001554267,2276.02484,2284.879305,2251.738804,2212.546934
6/9/22 16:50,Richardson Bay,1,6,R2,31.98344,25,22.80201,3,7.771922873,7.732159588,7.733258621,,2293.73377,2284.879305,2251.738804,2212.546934
6/21/22 9:39,Richardson Bay,2,7,R1,32.49715,25,22.00109,2.1,7.705855391,7.666360929,7.665488209,0.001234212,2154.54174,2220.64601,2266.045628,2229.083259
6/21/22 9:39,Richardson Bay,2,7,R2,32.49715,25,22.00109,2.1,7.703809236,7.664615489,7.665488209,,2286.75028,2220.64601,2266.045628,2229.083259
6/21/22 10:30,Richardson Bay,2,8,R1,32.37526,25,21.83981,1.4,7.748926105,7.708848432,7.710171927,0.001871705,2354.84576,2297.86862,2262.650991,2225.159619
6/21/22 10:30,Richardson Bay,2,8,R2,32.37526,25,21.83981,1.4,7.751419803,7.711495422,7.710171927,,2240.89148,2297.86862,2262.650991,2225.159619
6/21/22 11:28,Richardson Bay,2,9,R1,32.41318,25,22.41211,0.8,7.796276845,7.756297404,7.756318842,3.03E-05,2001.88924,2163.36097,2263.707063,2226.380264
6/21/22 11:28,Richardson Bay,2,9,R2,32.41318,25,22.41211,0.8,7.796446128,7.756340279,7.756318842,,2324.8327,2163.36097,2263.707063,2226.380264
6/21/22 13:29,Richardson Bay,2,10,R1,31.48275,25,25.37028,0.8,7.875297359,7.834508188,7.834806016,0.000421192,2246.02063,2261.49412,2237.794588,2196.429723
6/21/22 13:29,Richardson Bay,2,10,R2,31.48275,25,25.37028,0.8,7.875740649,7.835103843,7.834806016,,2276.96761,2261.49412,2237.794588,2196.429723
6/21/22 14:31,Richardson Bay,2,11,R1,32.40299,25,23.5272,1.6,7.787178383,7.747385185,7.755241025,0.011109835,2333.04136,2280.795245,2263.423272,2226.052248
6/21/22 14:31,Richardson Bay,2,11,R2,32.40299,25,23.5272,1.6,7.803164227,7.763096864,7.755241025,,2228.54913,2280.795245,2263.423272,2226.052248
6/21/22 15:29,Richardson Bay,2,12,R1,32.29496,25,23.19967,2.5,7.767357239,7.727566623,7.727205096,0.000511277,2322.76558,2310.201,2260.414636,2222.574762
6/21/22 15:29,Richardson Bay,2,12,R2,32.29496,25,23.19967,2.5,7.766692086,7.726843568,7.727205096,,2297.63642,2310.201,2260.414636,2222.574762
7/5/22 7:33,Richardson Bay,3,13,R1,32.58349,25,19.15045,2,7.681908544,7.642823724,7.64402201,0.001694632,2376.27354,2338.327635,2268.450197,2231.862543
7/5/22 7:33,Richardson Bay,3,13,R2,32.58349,25,19.15045,2,7.684439286,7.645220296,7.64402201,,2300.38173,2338.327635,2268.450197,2231.862543
7/5/22 8:35,Richardson Bay,3,14,R1,32.70726,25,19.40604,1.1,7.691413003,7.651524195,7.653558281,0.002876632,2329.35119,2328.94522,2271.897191,2235.846699
7/5/22 8:35,Richardson Bay,3,14,R2,32.70726,25,19.40604,1.1,7.695013312,7.655592367,7.653558281,,2328.53925,2328.94522,2271.897191,2235.846699
7/5/22 9:33,Richardson Bay,3,15,R1,32.51494,25,19.68949,0.6,7.685228786,7.646142527,7.648712855,0.003634992,2268.5108,2264.75613,2266.541079,2229.655919
7/5/22 9:33,Richardson Bay,3,15,R2,32.51494,25,19.68949,0.6,7.690544737,7.651283182,7.648712855,,2261.00146,2264.75613,2266.541079,2229.655919
7/5/22 11:36,Richardson Bay,3,16,R1,32.93124,25,20.37835,0.6,7.838888629,7.798510612,7.79848925,3.02E-05,2315.747,2313.59378,2278.135034,2243.056616
7/5/22 11:36,Richardson Bay,3,16,R2,32.93124,25,20.37835,0.6,7.838710729,7.798467887,7.79848925,,2311.44056,2313.59378,2278.135034,2243.056616
7/5/22 12:33,Richardson Bay,3,17,R1,32.56996,25,20.37089,1.2,7.695024463,7.656331883,7.659350243,0.004268605,2265.84897,2279.03674,2268.073386,2231.427012
7/5/22 12:33,Richardson Bay,3,17,R2,32.56996,25,20.37089,1.2,7.701488203,7.662368602,7.659350243,,2292.22451,2279.03674,2268.073386,2231.427012
7/5/22 13:33,Richardson Bay,3,18,R1,32.62544,25,20.61472,2.1,7.716737633,7.677121571,7.677427615,0.000432811,2275.54526,2283.580585,2269.618504,2233.212914
7/5/22 13:33,Richardson Bay,3,18,R2,32.62544,25,20.61472,2.1,7.716921276,7.677733658,7.677427615,,2291.61591,2283.580585,2269.618504,2233.212914